sensor_1R,sensor_2R,sensor_3R,sensor_4R,sensor_5R,sensor_1L,sensor_3L,sensor_4L,sensor_5L,acel1,giro1,acel2,giro2,gesto
0.0,3.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,5.53,-0.75,-8.97,-0.14,Oi
0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,5.46,-0.72,-8.72,-0.12,Oi
0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29,-0.83,-8.92,-0.08,Oi
0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.86,-0.99,-8.99,0.04,Oi
0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,6.62,-1.14,-8.9,0.15,Oi
0.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,6.87,-0.7,-8.84,0.27,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.79,-9.41,0.24,Oi
0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.63,-0.43,-9.46,0.13,Oi
0.0,9.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,6.05,-0.24,-8.93,0.07,Oi
0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.05,-8.51,-0.02,Oi
0.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,5.19,0.18,-8.44,-0.04,Oi
0.0,0.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,4.84,0.25,-8.89,0.03,Oi
5.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02,-0.21,-9.75,0.12,Oi
9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,-0.44,-9.6,0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,-0.51,-8.91,0.03,Oi
1.0,1.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,6.99,-0.32,-8.86,-0.1,Oi
10.0,19.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,6.81,-0.26,-9.1,-0.18,Oi
7.0,0.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,5.89,-0.12,-8.92,-0.15,Oi
3.0,6.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,5.36,-0.09,-8.61,-0.16,Oi
0.0,17.0,43.0,20.0,0.0,0.0,0.0,0.0,0.0,5.16,-0.18,-8.68,-0.17,Oi
10.0,24.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,5.03,-0.14,-8.95,-0.1,Oi
9.0,11.0,51.0,17.0,0.0,0.0,0.0,0.0,0.0,5.31,-0.13,-9.32,-0.04,Oi
